uid,name,phone,region_name,area_name,distributor_name,territory_name,points,routes,notes
RET-000011293,Alam Varieties,01643720999,Khulna,Sonadanga,Bangla Trade House,Sonadanga - Zone 5,644,Route-6,
RET-000011294,Begum Shop,01767738442,Sylhet,Zindabazar,Diamond Wholesale,Zindabazar - Zone 3,147,Route-32,
RET-000011295,Sultana Store,01552771675,Dhaka,Tejgaon,Khan Brothers,Tejgaon - Zone 1,404,Route-59,Needs follow-up on pending order
RET-000011296,Kamal Corner,01547151494,Barishal,Airport,Sunrise Wholesale,Airport - Zone 3,835,Route-99,High volume retailer
RET-000011297,Reza Shop,01388382624,Khulna,Daulatpur,Evergreen Trading,Daulatpur - Zone 5,84,Route-24,
RET-000011298,Malek Mart,01316398579,Dhaka,Mohammadpur,Mega Trade BD,Mohammadpur - Zone 5,817,Route-19,
RET-000011299,Alam Paiker,01983096954,Mymensingh,Fulbaria,Delta Suppliers,Fulbaria - Zone 1,637,Route-26,
RET-000011300,Akbar Store,01625733944,Dhaka,Bashundhara,Bangla Trade House,Bashundhara - Zone 4,108,Route-29,
RET-000011301,Kamal Retail Hub,01310959814,Dhaka,Uttara,Eastern Commerce,Uttara - Zone 4,761,Route-80,
RET-000011302,Sharif Retail Hub,01519275167,Dhaka,Bashundhara,Pacific Distributors,Bashundhara - Zone 1,437,Route-57,"Regular customer, prefers morning visits"
RET-000011303,Sarkar Wholesale,01566228266,Rangpur,Kaunia,Star Distribution Co.,Kaunia - Zone 3,228,Route-11,Payment always on time
RET-000011304,Sultana Point,01939415609,Rangpur,Rangpur Sadar,United Distributors,Rangpur Sadar - Zone 5,208,Route-67,
RET-000011305,Ali Store,01396653741,Khulna,Daulatpur,Star Distribution Co.,Daulatpur - Zone 3,633,Route-23,Prefers WhatsApp communication
RET-000011306,Sultana General Store,01724073076,Khulna,Daulatpur,Mega Trade BD,Daulatpur - Zone 1,790,Route-90,Payment always on time
RET-000011307,Iqbal Wholesale,01685663779,Khulna,Boyra,City Distributors,Boyra - Zone 4,905,Route-16,
RET-000011308,Sarkar Super Shop,01374148104,Rangpur,Mithapukur,Royal Traders,Mithapukur - Zone 3,755,Route-82,
RET-000011309,Haque Varieties,01827355855,Rangpur,Mithapukur,Sunrise Wholesale,Mithapukur - Zone 3,766,Route-53,"Bulk buyer, offer discounts"
RET-000011310,Ali Grocery,01386109168,Barishal,Airport,Delta Suppliers,Airport - Zone 1,958,Route-72,Located near main market
RET-000011311,Malek Mini Mart,01361805245,Chattogram,Kotwali,Prime Wholesale,Kotwali - Zone 4,214,Route-53,Located near main market
RET-000011312,Ahmed Trading,01697382341,Chattogram,Pahartali,Prime Wholesale,Pahartali - Zone 4,639,Route-92,"Regular customer, prefers morning visits"
RET-000011313,Kabir Wholesale,01519457391,Rajshahi,Rajpara,Diamond Wholesale,Rajpara - Zone 5,795,Route-44,High volume retailer
RET-000011314,Khan Corner,01780877950,Dhaka,Gulshan,Star Distribution Co.,Gulshan - Zone 2,452,Route-12,Prefers WhatsApp communication
RET-000011315,Sharif Super Shop,01853091493,Chattogram,Agrabad,Eastern Commerce,Agrabad - Zone 2,999,Route-47,
RET-000011316,Kabir Super Shop,01377228542,Rangpur,Badarganj,Nation Suppliers,Badarganj - Zone 5,114,Route-19,Located near main market
RET-000011317,Akbar Wholesale,01742981151,Sylhet,South Surma,United Distributors,South Surma - Zone 3,785,Route-46,
RET-000011318,Jahan Paiker,01967832392,Dhaka,Gulshan,Star Distribution Co.,Gulshan - Zone 5,158,Route-48,
RET-000011319,Rahman Shop,01723294174,Barishal,Kotwali,Elite Commerce,Kotwali - Zone 1,534,Route-91,Prefers WhatsApp communication
RET-000011320,Kabir Retail Hub,01833762687,Rangpur,Mithapukur,City Distributors,Mithapukur - Zone 3,852,Route-5,High volume retailer
RET-000011321,Taher Varieties,01815034486,Khulna,Boyra,United Distributors,Boyra - Zone 1,936,Route-13,"Bulk buyer, offer discounts"
RET-000011322,Chowdhury Super Shop,01595413144,Sylhet,Ambarkhana,Eastern Commerce,Ambarkhana - Zone 4,576,Route-19,
RET-000011323,Khatun Super Shop,01831285195,Rangpur,Pirganj,Royal Traders,Pirganj - Zone 3,141,Route-99,Payment always on time
RET-000011324,Hossain Varieties,01728924296,Sylhet,Tilagarh,Royal Traders,Tilagarh - Zone 3,927,Route-39,Needs follow-up on pending order
RET-000011325,Das General Store,01525639639,Chattogram,Panchlaish,Khan Brothers,Panchlaish - Zone 3,778,Route-96,"Regular customer, prefers morning visits"
RET-000011326,Rahman Grocery,01936835214,Mymensingh,Fulbaria,Bangla Trade House,Fulbaria - Zone 5,913,Route-38,Prefers WhatsApp communication
RET-000011327,Ali Super Shop,01763566220,Barishal,Barishal Sadar,Delta Suppliers,Barishal Sadar - Zone 3,667,Route-7,"Bulk buyer, offer discounts"
RET-000011328,Siddique Enterprise,01818735654,Khulna,Sonadanga,Royal Traders,Sonadanga - Zone 1,329,Route-37,Located near main market
RET-000011329,Sharif Dokan,01890910030,Sylhet,Zindabazar,Pacific Distributors,Zindabazar - Zone 3,786,Route-79,
RET-000011330,Noor Store,01933996672,Chattogram,Nasirabad,Rahman Enterprises,Nasirabad - Zone 5,667,Route-73,"Regular customer, prefers morning visits"
RET-000011331,Das Dokan,01755239393,Dhaka,Mohammadpur,United Distributors,Mohammadpur - Zone 4,289,Route-57,Payment always on time
RET-000011332,Mondal Paiker,01522548944,Rangpur,Mithapukur,City Distributors,Mithapukur - Zone 4,703,Route-73,"New retailer, handle with care"
RET-000011333,Akter Shop,01684463624,Dhaka,Gulshan,United Distributors,Gulshan - Zone 1,808,Route-63,
RET-000011334,Kabir Wholesale,01937446865,Rangpur,Rangpur Sadar,Bangla Trade House,Rangpur Sadar - Zone 3,376,Route-41,"Bulk buyer, offer discounts"
RET-000011335,Malek Paiker,01391161344,Dhaka,Dhanmondi,Nation Suppliers,Dhanmondi - Zone 3,34,Route-72,"Bulk buyer, offer discounts"
RET-000011336,Mondal Enterprise,01311859012,Barishal,Airport,Diamond Wholesale,Airport - Zone 1,363,Route-32,Prefers WhatsApp communication
RET-000011337,Akter Trading,01933671513,Dhaka,Uttara,Prime Wholesale,Uttara - Zone 5,201,Route-72,"Regular customer, prefers morning visits"
RET-000011338,Reza General Store,01742699622,Rajshahi,Katakhali,Crystal Distributors,Katakhali - Zone 1,659,Route-88,
RET-000011339,Ali General Store,01323550217,Mymensingh,Fulbaria,Elite Commerce,Fulbaria - Zone 2,575,Route-13,
RET-000011340,Sultana Dokan,01589491438,Dhaka,Tejgaon,AB Trading,Tejgaon - Zone 2,168,Route-26,High volume retailer
RET-000011341,Sultana Shop,01854404118,Sylhet,Zindabazar,Mega Trade BD,Zindabazar - Zone 2,998,Route-57,Needs follow-up on pending order
RET-000011342,Begum Point,01950941686,Sylhet,Subid Bazar,United Distributors,Subid Bazar - Zone 5,290,Route-83,
RET-000011343,Sultana Varieties,01955202915,Khulna,Sonadanga,Star Distribution Co.,Sonadanga - Zone 3,933,Route-84,High volume retailer
RET-000011344,Alam Retail Hub,01529328339,Mymensingh,Gafargaon,Mega Trade BD,Gafargaon - Zone 1,751,Route-22,High volume retailer
RET-000011345,Siddique Mini Mart,01348346752,Rangpur,Rangpur Sadar,Prime Wholesale,Rangpur Sadar - Zone 2,465,Route-88,"Bulk buyer, offer discounts"
RET-000011346,Chowdhury Shop,01869406987,Dhaka,Gulshan,Sunrise Wholesale,Gulshan - Zone 4,331,Route-11,Located near main market
RET-000011347,Das Dokan,01548689764,Dhaka,Gulshan,Eastern Commerce,Gulshan - Zone 4,959,Route-86,"Regular customer, prefers morning visits"
RET-000011348,Sultana Enterprise,01662881462,Mymensingh,Trishal,Mega Trade BD,Trishal - Zone 2,7,Route-73,"Bulk buyer, offer discounts"
RET-000011349,Bhuiyan Shop,01838389577,Chattogram,Double Mooring,Mega Trade BD,Double Mooring - Zone 3,95,Route-5,Prefers WhatsApp communication
RET-000011350,Chowdhury Enterprise,01322513331,Chattogram,Agrabad,Khan Brothers,Agrabad - Zone 2,215,Route-21,
RET-000011351,Mondal Mini Mart,01739223336,Khulna,Khalishpur,AB Trading,Khalishpur - Zone 1,497,Route-8,Payment always on time
RET-000011352,Iqbal Store,01391430801,Barishal,Gournadi,Nation Suppliers,Gournadi - Zone 5,674,Route-77,Located near main market
RET-000011353,Malek Store,01984011957,Mymensingh,Mymensingh Sadar,Bangla Trade House,Mymensingh Sadar - Zone 4,126,Route-94,High volume retailer
RET-000011354,Chowdhury Shop,01379202601,Barishal,Airport,Mega Trade BD,Airport - Zone 4,890,Route-91,"Regular customer, prefers morning visits"
RET-000011355,Das Enterprise,01866561780,Chattogram,Halishahar,AB Trading,Halishahar - Zone 5,687,Route-89,"Bulk buyer, offer discounts"
RET-000011356,Rahman Trading,01825806533,Sylhet,Ambarkhana,Nation Suppliers,Ambarkhana - Zone 5,436,Route-83,Prefers WhatsApp communication
RET-000011357,Sarkar Dokan,01658295564,Rangpur,Kaunia,Prime Wholesale,Kaunia - Zone 2,507,Route-79,
RET-000011358,Malek Retail Hub,01845076906,Chattogram,Panchlaish,Diamond Wholesale,Panchlaish - Zone 2,827,Route-82,Needs follow-up on pending order
RET-000011359,Ahmed Enterprise,01688563562,Mymensingh,Fulbaria,Eastern Commerce,Fulbaria - Zone 5,49,Route-97,
RET-000011360,Reza Corner,01572405225,Chattogram,Chandgaon,Rahman Enterprises,Chandgaon - Zone 1,658,Route-100,
RET-000011361,Rahman Bhandar,01396475828,Rajshahi,Rajpara,Bangla Trade House,Rajpara - Zone 2,827,Route-48,Needs follow-up on pending order
RET-000011362,Hossain Varieties,01333505829,Dhaka,Bashundhara,Evergreen Trading,Bashundhara - Zone 2,649,Route-62,Located near main market
RET-000011363,Jahan Point,01794449034,Chattogram,Kotwali,Sunrise Wholesale,Kotwali - Zone 3,633,Route-48,Located near main market
RET-000011364,Akbar Retail Hub,01937290112,Mymensingh,Gafargaon,Nation Suppliers,Gafargaon - Zone 5,366,Route-94,
RET-000011365,Ahmed Varieties,01993942963,Barishal,Barishal Sadar,Mega Trade BD,Barishal Sadar - Zone 3,860,Route-86,"Regular customer, prefers morning visits"
RET-000011366,Hossain Dokan,01332420548,Rajshahi,Motihar,United Distributors,Motihar - Zone 5,552,Route-35,
RET-000011367,Akbar Retail Hub,01375139189,Dhaka,Mohammadpur,Crystal Distributors,Mohammadpur - Zone 3,957,Route-91,"New retailer, handle with care"
RET-000011368,Rahman Varieties,01773815411,Sylhet,Zindabazar,AB Trading,Zindabazar - Zone 3,771,Route-81,Needs follow-up on pending order
RET-000011369,Akter Dokan,01735949515,Rajshahi,Motihar,AB Trading,Motihar - Zone 2,223,Route-37,Located near main market
RET-000011370,Jahan Dokan,01849647149,Dhaka,Dhanmondi,Eastern Commerce,Dhanmondi - Zone 5,192,Route-11,
RET-000011371,Akbar Trading,01791386778,Dhaka,Banani,Sunrise Wholesale,Banani - Zone 2,969,Route-50,Payment always on time
RET-000011372,Chowdhury Mini Mart,01396800736,Mymensingh,Muktagachha,Eastern Commerce,Muktagachha - Zone 3,350,Route-1,Located near main market
RET-000011373,Chowdhury Dokan,01867318524,Chattogram,Panchlaish,Star Distribution Co.,Panchlaish - Zone 1,41,Route-13,Prefers WhatsApp communication
RET-000011374,Sharif Varieties,01574282379,Dhaka,Mirpur,AB Trading,Mirpur - Zone 1,500,Route-95,High volume retailer
RET-000011375,Kabir Mini Mart,01374396131,Chattogram,Pahartali,Royal Traders,Pahartali - Zone 3,111,Route-83,"Regular customer, prefers morning visits"
RET-000011376,Das Store,01852944950,Rajshahi,Motihar,Rahman Enterprises,Motihar - Zone 5,864,Route-20,Payment always on time
RET-000011377,Iqbal Paiker,01937748096,Barishal,Barishal Sadar,Crystal Distributors,Barishal Sadar - Zone 4,958,Route-20,High volume retailer
RET-000011378,Rahman Dokan,01889203825,Rangpur,Mithapukur,Diamond Wholesale,Mithapukur - Zone 5,577,Route-18,"New retailer, handle with care"
RET-000011379,Islam Paiker,01394660453,Mymensingh,Trishal,Royal Traders,Trishal - Zone 1,181,Route-22,"Bulk buyer, offer discounts"
RET-000011380,Ahmed Mart,01527427040,Khulna,Sonadanga,Nation Suppliers,Sonadanga - Zone 2,281,Route-1,Payment always on time
RET-000011381,Noor Trading,01997242018,Khulna,Daulatpur,City Distributors,Daulatpur - Zone 1,867,Route-87,
RET-000011382,Malek Retail Hub,01872666946,Dhaka,Tejgaon,Delta Suppliers,Tejgaon - Zone 3,238,Route-29,
RET-000011383,Islam Grocery,01525859420,Chattogram,Kotwali,Delta Suppliers,Kotwali - Zone 4,966,Route-86,
RET-000011384,Taher Mart,01771629704,Dhaka,Mohammadpur,Bangla Trade House,Mohammadpur - Zone 2,551,Route-46,Prefers WhatsApp communication
RET-000011385,Malek Mart,01949728624,Rajshahi,Shah Makhdum,Pacific Distributors,Shah Makhdum - Zone 3,899,Route-21,Located near main market
RET-000011386,Begum Retail Hub,01390354837,Mymensingh,Fulbaria,Pacific Distributors,Fulbaria - Zone 2,582,Route-75,
RET-000011387,Jahan Paiker,01758565600,Barishal,Banaripara,Star Distribution Co.,Banaripara - Zone 4,77,Route-53,"Bulk buyer, offer discounts"
RET-000011388,Mia Store,01553280886,Mymensingh,Gafargaon,Global Supply Chain,Gafargaon - Zone 4,439,Route-78,"Regular customer, prefers morning visits"
RET-000011389,Alam Bhandar,01541466293,Khulna,Boyra,Eastern Commerce,Boyra - Zone 4,687,Route-56,"New retailer, handle with care"
RET-000011390,Das Point,01533776512,Sylhet,South Surma,Khan Brothers,South Surma - Zone 5,66,Route-3,High volume retailer
RET-000011391,Mondal Shop,01744155702,Dhaka,Gulshan,Bangla Trade House,Gulshan - Zone 5,215,Route-48,High volume retailer
RET-000011392,Begum Paiker,01983956750,Barishal,Babuganj,Mega Trade BD,Babuganj - Zone 3,458,Route-43,Located near main market
RET-000011393,Noor Grocery,01898740268,Chattogram,Halishahar,Delta Suppliers,Halishahar - Zone 1,516,Route-38,
RET-000011394,Ali Bhandar,01349477843,Chattogram,Panchlaish,Delta Suppliers,Panchlaish - Zone 1,299,Route-17,
RET-000011395,Hossain Store,01345895903,Rangpur,Kaunia,Eastern Commerce,Kaunia - Zone 1,230,Route-25,
RET-000011396,Das Corner,01623746474,Sylhet,Subid Bazar,Star Distribution Co.,Subid Bazar - Zone 4,228,Route-94,
RET-000011397,Siddique Dokan,01565963035,Rangpur,Kaunia,United Distributors,Kaunia - Zone 3,784,Route-67,"New retailer, handle with care"
RET-000011398,Malek Wholesale,01551205407,Barishal,Babuganj,Evergreen Trading,Babuganj - Zone 1,724,Route-100,
RET-000011399,Reza Corner,01812862770,Chattogram,Nasirabad,Nation Suppliers,Nasirabad - Zone 3,551,Route-64,
RET-000011400,Bhuiyan Super Shop,01926542508,Mymensingh,Gafargaon,Crystal Distributors,Gafargaon - Zone 2,637,Route-91,
RET-000011401,Akbar Bhandar,01591128478,Mymensingh,Fulbaria,Nation Suppliers,Fulbaria - Zone 3,342,Route-68,Located near main market
RET-000011402,Das Store,01823189962,Rangpur,Mithapukur,Nation Suppliers,Mithapukur - Zone 5,115,Route-71,"New retailer, handle with care"
RET-000011403,Haque Grocery,01673547147,Barishal,Banaripara,Pacific Distributors,Banaripara - Zone 1,904,Route-41,"Bulk buyer, offer discounts"
RET-000011404,Taher Grocery,01314992701,Rangpur,Badarganj,Delta Suppliers,Badarganj - Zone 2,959,Route-45,
RET-000011405,Khan Varieties,01516882579,Chattogram,Chandgaon,United Distributors,Chandgaon - Zone 4,344,Route-47,
RET-000011406,Khatun Mart,01779666962,Mymensingh,Fulbaria,Eastern Commerce,Fulbaria - Zone 4,368,Route-28,
RET-000011407,Akter Paiker,01890473131,Chattogram,Agrabad,Eastern Commerce,Agrabad - Zone 2,280,Route-22,"Bulk buyer, offer discounts"
RET-000011408,Reza Bhandar,01617316208,Rajshahi,Motihar,Delta Suppliers,Motihar - Zone 5,823,Route-57,"Regular customer, prefers morning visits"
RET-000011409,Alam Dokan,01956152089,Khulna,Khalishpur,Global Supply Chain,Khalishpur - Zone 5,912,Route-40,
RET-000011410,Noor Point,01680701080,Sylhet,Kumarpara,AB Trading,Kumarpara - Zone 1,646,Route-8,Payment always on time
RET-000011411,Begum Paiker,01651324873,Barishal,Airport,Royal Traders,Airport - Zone 1,316,Route-68,High volume retailer
RET-000011412,Ali Paiker,01849334437,Barishal,Gournadi,Mega Trade BD,Gournadi - Zone 5,597,Route-8,
RET-000011413,Islam Mart,01784799070,Barishal,Barishal Sadar,Eastern Commerce,Barishal Sadar - Zone 1,269,Route-46,High volume retailer
RET-000011414,Bhuiyan Store,01745327596,Chattogram,Kotwali,Eastern Commerce,Kotwali - Zone 1,436,Route-76,
RET-000011415,Hossain Enterprise,01517770931,Khulna,Khalishpur,Pacific Distributors,Khalishpur - Zone 4,113,Route-93,
RET-000011416,Das Mart,01578703936,Rangpur,Kaunia,Khan Brothers,Kaunia - Zone 4,88,Route-1,Located near main market
RET-000011417,Malek Varieties,01628131634,Dhaka,Motijheel,Eastern Commerce,Motijheel - Zone 5,594,Route-38,"Bulk buyer, offer discounts"
RET-000011418,Haque Wholesale,01518597637,Barishal,Banaripara,Prime Wholesale,Banaripara - Zone 5,686,Route-3,
RET-000011419,Reza Trading,01314646691,Dhaka,Motijheel,Pacific Distributors,Motijheel - Zone 4,541,Route-89,"Regular customer, prefers morning visits"
RET-000011420,Hossain Varieties,01547840878,Mymensingh,Gafargaon,Mega Trade BD,Gafargaon - Zone 5,891,Route-77,High volume retailer
RET-000011421,Hossain Grocery,01916538977,Barishal,Barishal Sadar,Evergreen Trading,Barishal Sadar - Zone 3,350,Route-51,Payment always on time
RET-000011422,Bhuiyan Retail Hub,01793203434,Chattogram,Agrabad,United Distributors,Agrabad - Zone 1,373,Route-76,
RET-000011423,Siddique Point,01656353391,Rajshahi,Rajpara,Delta Suppliers,Rajpara - Zone 5,214,Route-32,Prefers WhatsApp communication
RET-000011424,Taher Bhandar,01752084135,Rajshahi,Katakhali,Eastern Commerce,Katakhali - Zone 2,917,Route-100,
RET-000011425,Siddique Shop,01630478022,Chattogram,Agrabad,Eastern Commerce,Agrabad - Zone 1,93,Route-54,Prefers WhatsApp communication
RET-000011426,Alam Retail Hub,01527709883,Mymensingh,Trishal,Rahman Enterprises,Trishal - Zone 3,910,Route-34,High volume retailer
RET-000011427,Reza Paiker,01395846782,Rajshahi,Rajpara,Evergreen Trading,Rajpara - Zone 2,5,Route-5,Payment always on time
RET-000011428,Islam Mini Mart,01733574940,Chattogram,Pahartali,City Distributors,Pahartali - Zone 5,863,Route-98,Payment always on time
RET-000011429,Khan Wholesale,01774604942,Chattogram,Double Mooring,United Distributors,Double Mooring - Zone 4,910,Route-68,"New retailer, handle with care"
RET-000011430,Alam Paiker,01743190612,Chattogram,Kotwali,Crystal Distributors,Kotwali - Zone 1,210,Route-7,Prefers WhatsApp communication
RET-000011431,Begum General Store,01317882907,Dhaka,Banani,Bangla Trade House,Banani - Zone 5,576,Route-84,Needs follow-up on pending order
RET-000011432,Haque Shop,01960261480,Mymensingh,Gafargaon,Khan Brothers,Gafargaon - Zone 4,166,Route-42,
RET-000011433,Ahmed Super Shop,01724663441,Rajshahi,Rajpara,Elite Commerce,Rajpara - Zone 4,749,Route-99,
RET-000011434,Khan Store,01938870154,Dhaka,Banani,Sunrise Wholesale,Banani - Zone 1,887,Route-39,
RET-000011435,Ali Corner,01974752063,Rajshahi,Shah Makhdum,Eastern Commerce,Shah Makhdum - Zone 1,734,Route-5,
RET-000011436,Chowdhury Corner,01956854529,Chattogram,Nasirabad,Eastern Commerce,Nasirabad - Zone 5,900,Route-26,Located near main market
RET-000011437,Bhuiyan Trading,01350751310,Rajshahi,Shah Makhdum,Sunrise Wholesale,Shah Makhdum - Zone 5,211,Route-89,Prefers WhatsApp communication
RET-000011438,Reza Mini Mart,01932131266,Rangpur,Badarganj,Khan Brothers,Badarganj - Zone 5,649,Route-93,Needs follow-up on pending order
RET-000011439,Alam Mini Mart,01985296313,Chattogram,Kotwali,Evergreen Trading,Kotwali - Zone 4,705,Route-75,
RET-000011440,Rahman Point,01934981266,Sylhet,Tilagarh,Mega Trade BD,Tilagarh - Zone 4,410,Route-96,"Regular customer, prefers morning visits"
RET-000011441,Haque Retail Hub,01971323373,Barishal,Airport,Eastern Commerce,Airport - Zone 2,27,Route-46,
RET-000011442,Noor Corner,01536287016,Sylhet,Kumarpara,Sunrise Wholesale,Kumarpara - Zone 1,229,Route-45,"Bulk buyer, offer discounts"
RET-000011443,Mondal Bhandar,01969011473,Rangpur,Gangachara,Pacific Distributors,Gangachara - Zone 2,368,Route-18,Located near main market
RET-000011444,Hossain Point,01989460699,Dhaka,Tejgaon,Diamond Wholesale,Tejgaon - Zone 4,417,Route-54,
RET-000011445,Alam Mini Mart,01895735347,Rangpur,Rangpur Sadar,Khan Brothers,Rangpur Sadar - Zone 3,753,Route-29,"Regular customer, prefers morning visits"
RET-000011446,Das Retail Hub,01512552158,Barishal,Babuganj,Crystal Distributors,Babuganj - Zone 4,245,Route-79,Payment always on time
RET-000011447,Akbar General Store,01895616465,Khulna,Batiaghata,Rahman Enterprises,Batiaghata - Zone 5,201,Route-35,Payment always on time
RET-000011448,Begum Dokan,01864581226,Chattogram,Halishahar,Evergreen Trading,Halishahar - Zone 5,387,Route-75,"Regular customer, prefers morning visits"
RET-000011449,Khatun Bhandar,01572349917,Rangpur,Badarganj,Eastern Commerce,Badarganj - Zone 2,253,Route-100,"New retailer, handle with care"
RET-000011450,Jahan Shop,01947585179,Rajshahi,Paba,Nation Suppliers,Paba - Zone 1,404,Route-67,
RET-000011451,Bhuiyan Corner,01834305159,Rangpur,Badarganj,Nation Suppliers,Badarganj - Zone 2,439,Route-6,
RET-000011452,Ali Wholesale,01842884655,Chattogram,Nasirabad,Rahman Enterprises,Nasirabad - Zone 3,103,Route-45,High volume retailer
RET-000011453,Ahmed Mini Mart,01857498678,Rajshahi,Paba,Mega Trade BD,Paba - Zone 5,692,Route-1,Needs follow-up on pending order
RET-000011454,Jahan Bhandar,01348387360,Dhaka,Banani,Rahman Enterprises,Banani - Zone 4,30,Route-78,
RET-000011455,Khatun Point,01597700852,Dhaka,Savar,Crystal Distributors,Savar - Zone 5,838,Route-79,Needs follow-up on pending order
RET-000011456,Mia Shop,01396681640,Sylhet,Subid Bazar,AB Trading,Subid Bazar - Zone 3,470,Route-37,
RET-000011457,Alam Super Shop,01745951552,Rangpur,Pirganj,Nation Suppliers,Pirganj - Zone 5,846,Route-97,High volume retailer
RET-000011458,Malek Point,01650998794,Sylhet,Ambarkhana,Mega Trade BD,Ambarkhana - Zone 5,476,Route-39,"Bulk buyer, offer discounts"
RET-000011459,Uddin Grocery,01352957979,Mymensingh,Trishal,Elite Commerce,Trishal - Zone 1,546,Route-27,Prefers WhatsApp communication
RET-000011460,Ali Wholesale,01584374366,Rajshahi,Shah Makhdum,Bangla Trade House,Shah Makhdum - Zone 2,657,Route-48,Needs follow-up on pending order
RET-000011461,Chowdhury Grocery,01327202549,Chattogram,Chandgaon,Royal Traders,Chandgaon - Zone 3,811,Route-4,"Bulk buyer, offer discounts"
RET-000011462,Kabir Trading,01325883703,Barishal,Gournadi,Mega Trade BD,Gournadi - Zone 4,627,Route-66,Prefers WhatsApp communication
RET-000011463,Taher Store,01989139258,Rajshahi,Boalia,Royal Traders,Boalia - Zone 4,393,Route-77,
RET-000011464,Das Dokan,01985164325,Rajshahi,Boalia,Rahman Enterprises,Boalia - Zone 2,221,Route-36,
RET-000011465,Reza Shop,01338609364,Sylhet,Tilagarh,Sunrise Wholesale,Tilagarh - Zone 5,584,Route-99,High volume retailer
RET-000011466,Jahan Mini Mart,01572301339,Mymensingh,Mymensingh Sadar,Royal Traders,Mymensingh Sadar - Zone 4,832,Route-81,Prefers WhatsApp communication
RET-000011467,Kabir Retail Hub,01554358661,Rajshahi,Katakhali,Nation Suppliers,Katakhali - Zone 2,521,Route-35,Payment always on time
RET-000011468,Iqbal Super Shop,01646669557,Sylhet,Zindabazar,Diamond Wholesale,Zindabazar - Zone 1,872,Route-42,Needs follow-up on pending order
RET-000011469,Khatun Dokan,01870655019,Rangpur,Kaunia,Crystal Distributors,Kaunia - Zone 4,952,Route-4,High volume retailer
RET-000011470,Ali Paiker,01713205255,Dhaka,Banani,City Distributors,Banani - Zone 5,147,Route-42,"New retailer, handle with care"
RET-000011471,Akter Varieties,01744119547,Barishal,Babuganj,Crystal Distributors,Babuganj - Zone 4,517,Route-2,
RET-000011472,Noor Mart,01845565193,Rangpur,Mithapukur,Bangla Trade House,Mithapukur - Zone 1,682,Route-46,"Regular customer, prefers morning visits"
RET-000011473,Kabir Mini Mart,01527809231,Khulna,Boyra,Nation Suppliers,Boyra - Zone 1,932,Route-16,"Bulk buyer, offer discounts"
RET-000011474,Taher Store,01749560325,Chattogram,Kotwali,Nation Suppliers,Kotwali - Zone 3,382,Route-93,
RET-000011475,Sharif General Store,01825374368,Dhaka,Mohammadpur,Diamond Wholesale,Mohammadpur - Zone 4,637,Route-53,"Bulk buyer, offer discounts"
RET-000011476,Begum Retail Hub,01743554942,Dhaka,Motijheel,City Distributors,Motijheel - Zone 1,644,Route-8,
RET-000011477,Sharif Dokan,01746819373,Dhaka,Mohammadpur,Mega Trade BD,Mohammadpur - Zone 1,138,Route-3,
RET-000011478,Jahan Varieties,01530719259,Barishal,Banaripara,Pacific Distributors,Banaripara - Zone 5,996,Route-48,Prefers WhatsApp communication
RET-000011479,Akter Varieties,01928720075,Sylhet,Tilagarh,Mega Trade BD,Tilagarh - Zone 4,263,Route-78,"Regular customer, prefers morning visits"
RET-000011480,Haque Super Shop,01630728378,Rajshahi,Katakhali,Mega Trade BD,Katakhali - Zone 1,971,Route-29,"Bulk buyer, offer discounts"
RET-000011481,Haque Grocery,01938540028,Chattogram,Double Mooring,Eastern Commerce,Double Mooring - Zone 4,954,Route-45,
RET-000011482,Kamal Dokan,01569058550,Khulna,Sonadanga,Global Supply Chain,Sonadanga - Zone 4,136,Route-80,Prefers WhatsApp communication
RET-000011483,Iqbal Paiker,01579600293,Chattogram,Nasirabad,Royal Traders,Nasirabad - Zone 5,308,Route-53,
RET-000011484,Akbar General Store,01864255843,Rajshahi,Boalia,Crystal Distributors,Boalia - Zone 2,123,Route-53,"Bulk buyer, offer discounts"
RET-000011485,Ahmed Super Shop,01825758936,Sylhet,Zindabazar,Delta Suppliers,Zindabazar - Zone 1,388,Route-32,Prefers WhatsApp communication
RET-000011486,Mondal Dokan,01369046824,Barishal,Banaripara,Elite Commerce,Banaripara - Zone 2,831,Route-66,Located near main market
RET-000011487,Mondal Mini Mart,01382602905,Sylhet,Kumarpara,Crystal Distributors,Kumarpara - Zone 4,206,Route-48,"New retailer, handle with care"
RET-000011488,Khan General Store,01654897542,Khulna,Boyra,City Distributors,Boyra - Zone 5,717,Route-86,Needs follow-up on pending order
RET-000011489,Reza Trading,01625745037,Khulna,Khalishpur,Nation Suppliers,Khalishpur - Zone 5,150,Route-46,"Regular customer, prefers morning visits"
RET-000011490,Khatun Mini Mart,01681564388,Dhaka,Uttara,Star Distribution Co.,Uttara - Zone 5,649,Route-24,
RET-000011491,Mia Varieties,01361283199,Dhaka,Mohammadpur,AB Trading,Mohammadpur - Zone 4,927,Route-92,Payment always on time
RET-000011492,Bhuiyan Corner,01525423212,Barishal,Airport,Nation Suppliers,Airport - Zone 4,868,Route-50,
RET-000011493,Taher Corner,01350344982,Rangpur,Badarganj,Prime Wholesale,Badarganj - Zone 3,890,Route-37,High volume retailer
RET-000011494,Ali General Store,01649570032,Chattogram,Panchlaish,Delta Suppliers,Panchlaish - Zone 1,427,Route-72,Located near main market
